                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0552,                 1.3884,                  1.388,                0.29141,                0.45701,                0.38828,                0.12168,                 1.8173,                 2.7562,                 1.9709,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.0229,                 1.3612,                 1.3798,                0.30601,                 0.3879,                0.24375,                0.09838,                 1.8603,                 2.8011,                 1.9789,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.0239,                 1.3562,                 1.3677,                0.44409,                0.30868,                0.32671,                0.13173,                 1.8774,                 2.8316,                  2.001,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.0458,                 1.3603,                 1.3841,                0.43165,                0.39362,                0.34947,                0.10086,                 1.7977,                 2.6925,                  1.925,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.0187,                 1.3184,                 1.3633,                0.27974,                 0.3126,                0.31669,                0.13787,                  1.919,                 2.8045,                 2.0416,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.0203,                  1.319,                 1.3661,                0.20587,                0.34623,                0.30739,                0.14407,                 1.7963,                 2.8888,                 1.9412,             0.00068204,             0.00068204,             0.00068204
                     41,                0.99535,                 1.2801,                 1.3511,                0.45958,                0.32481,                0.33036,                0.13395,                 1.8529,                 2.7548,                 1.9869,             0.00067104,             0.00067104,             0.00067104
                     42,                  1.003,                 1.3004,                 1.3576,                 0.3962,                0.32675,                0.31906,                0.11464,                 1.8857,                 2.8249,                 2.0639,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.0085,                 1.2892,                 1.3552,                0.28442,                0.34104,                0.30764,                0.16501,                 1.9258,                 2.9618,                 2.0772,             0.00064905,             0.00064905,             0.00064905
                     44,                  1.007,                 1.2912,                 1.3657,                0.32569,                0.33338,                 0.3209,                0.08311,                 1.8841,                 2.7441,                 1.9251,             0.00063805,             0.00063805,             0.00063805
