                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 1.1951,                 1.7243,                 1.5093,                0.46166,                0.35349,                0.30228,                0.09705,                 1.8308,                 3.1246,                 2.0005,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.1687,                 1.6901,                 1.4845,                0.27637,                0.34065,                0.16891,                0.07158,                 1.7882,                 2.7575,                 1.9513,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.1687,                 1.6854,                 1.4945,                0.09544,                0.18494,                  0.096,                0.04571,                 1.8485,                 2.9118,                 2.0111,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.1358,                 1.6205,                  1.464,                0.29252,                0.38623,                0.19901,                0.07217,                 1.8118,                 2.9887,                 1.9835,             0.00075904,             0.00075904,             0.00075904
                     18,                 1.1353,                 1.6024,                 1.4618,                0.37126,                 0.2675,                0.32193,                0.14513,                 1.7966,                 2.5298,                 1.9056,             0.00073704,             0.00073704,             0.00073704
                     19,                 1.1268,                 1.5903,                 1.4574,                0.30675,                0.19792,                0.21353,                0.09822,                 1.8345,                 2.6428,                 1.9516,             0.00071504,             0.00071504,             0.00071504
                     20,                  1.116,                 1.5421,                 1.4455,                0.40213,                0.43434,                0.37839,                0.14382,                 1.8238,                 2.6468,                 1.9258,             0.00069304,             0.00069304,             0.00069304
                     21,                  1.123,                 1.5422,                  1.442,                0.20814,                0.49519,                0.22523,                0.09363,                 1.8478,                 2.8245,                 1.9628,             0.00067104,             0.00067104,             0.00067104
                     22,                 1.1055,                 1.5165,                 1.4347,                 0.4756,                0.34083,                0.26302,                0.09779,                 1.8147,                 2.7689,                 1.9202,             0.00064905,             0.00064905,             0.00064905
                     23,                 1.0821,                 1.4954,                 1.4258,                0.43672,                0.27277,                0.30317,                0.16649,                 1.8164,                 2.7927,                 1.9988,             0.00062705,             0.00062705,             0.00062705
                     24,                 1.0848,                 1.4747,                 1.4131,                 0.2002,                0.36545,                0.20644,                 0.1032,                 1.7896,                 2.9053,                 1.9063,             0.00060505,             0.00060505,             0.00060505
                     25,                 1.0719,                 1.4513,                 1.4054,                0.21442,                0.40405,                0.22199,                 0.1247,                 1.8528,                 2.8127,                 2.0448,             0.00058305,             0.00058305,             0.00058305
                     26,                 1.0622,                 1.4633,                 1.4058,                0.47936,                 0.3139,                0.32145,                0.18308,                 1.8489,                 2.8088,                 1.9552,             0.00056105,             0.00056105,             0.00056105
                     27,                 1.0582,                 1.4157,                 1.3965,                0.17224,                 0.4026,                0.15609,                0.07499,                 1.8713,                 3.0266,                 2.0299,             0.00053906,             0.00053906,             0.00053906
                     28,                 1.0493,                 1.4232,                 1.3914,                0.39633,                0.35734,                0.32539,                0.10285,                 1.8323,                   2.92,                 1.9433,             0.00051706,             0.00051706,             0.00051706
                     29,                 1.0495,                 1.4214,                 1.3977,                0.21461,                0.18533,                0.19083,                0.09673,                 1.7756,                 2.8462,                 1.9196,             0.00049506,             0.00049506,             0.00049506
                     30,                 1.0313,                 1.3918,                  1.384,                0.22303,                0.43888,                0.22805,                0.11726,                 1.7804,                 2.6077,                 1.9411,             0.00047306,             0.00047306,             0.00047306
                     31,                 1.0069,                 1.3376,                 1.3647,                0.23224,                0.46753,                0.21524,                0.09132,                 1.7951,                   2.79,                  1.927,             0.00045107,             0.00045107,             0.00045107
                     32,                 0.9866,                 1.2846,                 1.3399,                0.29444,                0.39856,                0.26897,                0.13387,                 1.7595,                 2.7485,                 1.9347,             0.00042907,             0.00042907,             0.00042907
                     33,                 1.0195,                 1.3406,                 1.3703,                0.46162,                 0.3586,                0.34164,                0.12265,                 1.7833,                 2.7155,                 1.8783,             0.00040707,             0.00040707,             0.00040707
                     34,                0.98656,                 1.2787,                 1.3423,                0.48591,                0.33792,                0.33976,                0.11914,                 1.8639,                  2.933,                 1.9466,             0.00038507,             0.00038507,             0.00038507
                     35,                0.98957,                 1.2848,                 1.3395,                0.23386,                0.22613,                0.16133,                0.07955,                 1.8464,                 2.6848,                 1.9322,             0.00036307,             0.00036307,             0.00036307
                     36,                0.96407,                 1.2531,                 1.3312,                0.48781,                0.38974,                0.33386,                0.10704,                  1.794,                 2.7923,                 1.9694,             0.00034108,             0.00034108,             0.00034108
                     37,                0.95774,                 1.2429,                 1.3182,                0.29847,                0.39502,                0.33341,                0.12623,                 1.7521,                 2.7501,                 1.8941,             0.00031908,             0.00031908,             0.00031908
                     38,                0.96501,                 1.2393,                 1.3225,                0.36388,                0.34768,                 0.3254,                0.14506,                 1.8633,                 2.8096,                 2.0033,             0.00029708,             0.00029708,             0.00029708
                     39,                0.94703,                 1.2068,                 1.3125,                0.32526,                0.36974,                0.32269,                0.12411,                 1.8295,                  2.764,                 1.9358,             0.00027508,             0.00027508,             0.00027508
                     40,                0.94194,                 1.1947,                 1.3063,                0.45891,                0.31866,                0.33033,                0.16068,                 1.8684,                 2.8247,                 1.9624,             0.00025309,             0.00025309,             0.00025309
                     41,                  0.956,                 1.0685,                 1.3554,                0.31349,                0.34118,                0.32798,                0.14263,                 1.8752,                 2.7854,                 2.0164,             0.00023109,             0.00023109,             0.00023109
                     42,                0.93873,                 1.0011,                 1.3566,                0.26703,                0.40506,                0.20294,                 0.1013,                 1.8107,                 2.8222,                 1.9727,             0.00020909,             0.00020909,             0.00020909
                     43,                0.90907,                0.95893,                  1.331,                0.47619,                0.32247,                0.33531,                0.20746,                  1.815,                 2.7848,                  1.983,             0.00018709,             0.00018709,             0.00018709
                     44,                0.88888,                0.92554,                 1.3162,                0.30761,                 0.3417,                0.21956,                0.10444,                 1.8293,                 2.8831,                 2.0061,             0.00016509,             0.00016509,             0.00016509
                     45,                0.86665,                0.89412,                 1.2838,                0.42575,                0.30596,                0.33269,                0.17262,                 1.8151,                 2.8189,                  1.947,              0.0001431,              0.0001431,              0.0001431
                     46,                0.86361,                 0.8712,                 1.2937,                0.40897,                0.35205,                0.33987,                 0.1443,                 1.8587,                 2.8656,                 1.9834,              0.0001211,              0.0001211,              0.0001211
                     47,                0.84875,                0.86004,                 1.2776,                0.40512,                0.36227,                 0.3351,                0.13677,                 1.8039,                 2.7408,                 1.9239,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.82644,                0.83993,                  1.261,                0.36913,                0.29958,                0.32715,                0.17615,                 1.8307,                 2.8517,                 1.9653,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.83806,                0.83644,                 1.2755,                0.34508,                0.35089,                 0.2321,                0.15835,                 1.8547,                 2.8438,                 1.9737,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                 0.8219,                0.80595,                 1.2637,                0.36499,                0.35403,                0.33793,                0.19401,                 1.8544,                 2.8639,                  1.971,             3.3108e-05,             3.3108e-05,             3.3108e-05
