                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4475,                 2.9472,                 1.6804,                 0.5274,                 0.2014,                0.13404,                0.07466,                  1.916,                 3.6237,                 2.0075,             0.00036802,             0.00036802,             0.00036802
                      2,                 1.4477,                 2.5215,                 1.6842,                0.46518,                0.21143,                0.04946,                0.01435,                 1.9723,                 3.5042,                 1.9897,             0.00072373,             0.00072373,             0.00072373
                      3,                 1.4619,                  2.374,                 1.6893,                0.68118,                    0.2,                0.13509,                0.03685,                 2.1269,                 3.4174,                  2.269,              0.0010648,              0.0010648,              0.0010648
                      4,                 1.4452,                  2.253,                 1.6761,                0.08297,                0.28675,                0.14555,                0.05828,                 2.0298,                 3.3521,                 2.1645,               0.001045,               0.001045,               0.001045
                      5,                  1.394,                  2.173,                  1.664,                0.21278,                   0.08,                 0.0544,                 0.0252,                 2.0222,                 3.1473,                 2.0381,               0.001023,               0.001023,               0.001023
                      6,                   1.37,                 2.0876,                 1.6398,                0.11499,                0.32631,                0.10614,                0.05144,                 1.9368,                 3.1917,                 2.0932,               0.001001,               0.001001,               0.001001
                      7,                 1.3467,                 2.0037,                  1.615,                0.13047,                0.11818,                0.08518,                0.04256,                 1.8542,                 2.9079,                 1.9336,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.3152,                 1.9811,                 1.6014,                0.19027,                0.42351,                0.15511,                0.06104,                 1.9212,                 2.9287,                 2.0316,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.2913,                 1.9174,                 1.5903,                0.37264,                0.26946,                0.26216,                0.06659,                 1.9443,                 3.3511,                 2.1114,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.2496,                 1.8675,                 1.5503,                0.13212,                 0.3532,                0.29117,                0.12549,                 1.8661,                 2.8686,                 1.9628,             0.00091302,             0.00091302,             0.00091302
                     11,                  1.235,                 1.8133,                 1.5405,                0.16209,                 0.3382,                0.14558,                0.06442,                 1.8962,                 3.0443,                 2.0115,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.2211,                 1.7835,                 1.5232,                0.19341,                0.12993,                0.09949,                0.05354,                 1.9192,                 2.8593,                 2.0353,             0.00086902,             0.00086902,             0.00086902
                     13,                 1.1959,                  1.729,                 1.5145,                0.27639,                0.31563,                0.28271,                0.10541,                 1.9984,                 2.9966,                 2.1269,             0.00084703,             0.00084703,             0.00084703
